ticker,data,decisao,mes,ano,lancamento,categoria,valor,moeda
GOOGL,2025-12-15,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,44",USD
IBKR,2025-12-12,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"0,64",USD
IBKR,2025-12-12,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,19",USD
MSFT,2025-12-11,DIvidendo,dez/25,2025,DIvidendo,Ação Internacional,"0,91",USD
KNCR11.SA,2025-12-11,Dividendo,dez/25,2025,DIvidendo,Fii,"114,33",BRL
MSFT,2025-12-11,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"0,27",USD
ITUB4.SA,2025-12-01,DIvidendo,dez/25,2025,DIvidendo,Ação,"2,1",BRL
VRSN,2025-11-25,Dividendo,nov/25,2025,DIvidendo,Ação Internacional,"0,77",USD
VRSN,2025-11-25,IMPOSTO,nov/25,2025,IMPOSTO,Ação Internacional,"-0,23",USD
NTN-B,2025-11-17,Dividendo,nov/25,2025,JUROS RENDA FIXA,Renda Fixa,"269,72",BRL
KNCR11.SA,2025-11-13,DIvidendo,nov/25,2025,DIvidendo,Fii,"135,66",BRL
ASML,2025-11-06,Dividendo,nov/25,2025,DIvidendo,Ação Internacional,"1,85",EUR
ASML,2025-11-06,IMPOSTO,nov/25,2025,IMPOSTO,Ação Internacional,"-0,28",EUR
ITUB4.SA,2025-11-03,DIvidendo,nov/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
SPY,2025-10-31,Dividendo,out/25,2025,DIvidendo,Ação Internacional,"3,66",USD
SPY,2025-10-31,IMPOSTO,out/25,2025,IMPOSTO,Ação Internacional,"-1,1",USD
QQQ,2025-10-31,Dividendo,out/25,2025,DIvidendo,Ação Internacional,"0,69",USD
QQQ,2025-10-31,IMPOSTO,out/25,2025,IMPOSTO,Ação Internacional,"-0,21",USD
DPM,2025-10-15,DIvidendo,out/25,2025,DIvidendo,Ação Internacional,1,CAD
DPM,2025-10-15,IMPOSTO,out/25,2025,IMPOSTO,Ação Internacional,"-0,18",CAD
DPM,2025-10-15,Dividendo,out/25,2025,DIvidendo,Ação Internacional,"0,71",CAD
KNCR11.SA,2025-10-13,DIvidendo,out/25,2025,DIvidendo,Fii,"136,35",BRL
TSM,2025-10-09,Dividendo,out/25,2025,DIvidendo,Ação Internacional,"2,47",USD
