pais,emissor,denominacao,assunto,krause,ano,marca,graduacao,valor_brl,composicao,peso_metal_g,derretimento_brl,foto_anverso,foto_reverso,nota,serie
Brasil,Brasil,1 real,40 anos do Banco Central,KM# 668,2005,Sem marca da casa da moeda,AU,17.07,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005604-641289752495.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005602-507502648194.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Basquete",KM# 704,2015,Sem marca da casa da moeda,AU,7.56,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005119-3697228251791.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005118-076129948090.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Judô",KM# 711,2015,Sem marca da casa da moeda,AU,7.46,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005082-0366611979987.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005080-799434644486.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Natação paralímpica",KM# 725,2016,Sem marca da casa da moeda,AU,7.1,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005061-9242911632883.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005060-468039724182.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Mascote olímpico Vinícius",KM# 726,2016,Sem marca da casa da moeda,AU,7.05,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005038-641752161079.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005037-110287649278.webp,,Minhas Moedas
Brasil,Brasil,1 real,Centenário do nascimento de Juscelino Kubitschek de Oliveira,KM# 656,2002,Sem marca da casa da moeda,AU,18.45,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005015-847248469675.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005014-5559778737874.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Rúgbi",KM# 707,2015,Sem marca da casa da moeda,AU,7.67,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004979-721412381371.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004978-397983652570.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Triatlo paralímpico",KM# 689,2014,Sem marca da casa da moeda,AU,6.13,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004955-582629837667.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004954-2331948789966.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XV Jogos Paralímpicos de Verão, Rio de Janeiro 2016 - Canoagem paralímpica",KM# 706,2015,Sem marca da casa da moeda,AU,6.49,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004932-0657911284463.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004930-714453925262.webp,,Minhas Moedas
Brasil,Brasil,1 real,Aniversário de 25 anos do Plano Real,,2019,Sem marca da casa da moeda,AU,6.64,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784004911-9672132805659.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784004910-56169414658.webp,,Minhas Moedas
