month,return_pct,return_pct_usd,locked_at,version
2021-11,0,0,2026-06-15T21:02:22.414Z,2
2021-12,2.427996,3.04218,2026-07-11T23:06:52.924Z,2
2022-01,-0.184496,3.95908,2026-07-11T23:06:52.924Z,2
2022-02,4.078128,13.069947,2026-07-11T23:06:52.924Z,2
2022-03,-4.01222,4.529392,2026-07-11T23:06:52.924Z,2
2022-04,-4.901337,-8.7532,2026-07-11T23:06:52.924Z,2
2022-05,-0.884772,1.43743,2026-07-11T23:06:52.924Z,2
2022-06,0.809633,-8.921715,2026-07-11T23:06:52.924Z,2
2022-07,3.637197,4.237422,2026-07-11T23:06:52.924Z,2
2022-08,0.367087,0.866704,2026-07-11T23:06:52.924Z,2
2022-09,0.052646,-3.924466,2026-07-11T23:06:52.924Z,2
2022-10,1.56098,3.629263,2026-07-11T23:06:52.924Z,2
2022-11,2.085448,2.466034,2026-07-11T23:06:52.924Z,2
2022-12,0.44712,0.135397,2026-07-11T23:06:52.924Z,2
2023-01,1.277264,4.410103,2026-07-11T23:06:52.924Z,2
2023-02,1.560452,-0.337701,2026-07-11T23:06:52.924Z,2
2023-03,0.586558,2.699928,2026-07-11T23:06:52.924Z,2
2023-04,0.590999,2.968456,2026-07-11T23:06:52.924Z,2
2023-05,0.534008,-1.026585,2026-07-11T23:06:52.924Z,2
2023-06,1.636303,5.834333,2026-07-11T23:06:52.924Z,2
2023-07,1.447994,4.246715,2026-07-11T23:06:52.924Z,2
2023-08,1.774301,-2.932488,2026-07-11T23:06:52.924Z,2
2023-09,1.191867,-0.396544,2026-07-11T23:06:52.924Z,2
2023-10,0.588177,0.323057,2026-07-11T23:06:52.924Z,2
2023-11,0.823177,3.620627,2026-07-11T23:06:52.924Z,2
2023-12,2.163787,3.299127,2026-07-11T23:06:52.924Z,2
2024-01,1.409231,-0.565444,2026-07-11T23:06:52.924Z,2
2024-02,1.428491,1.077906,2026-07-11T23:06:52.924Z,2
2024-03,1.492265,0.544969,2026-07-11T23:06:52.924Z,2
2024-04,0.762965,-3.296488,2026-07-11T23:06:52.924Z,2
2024-05,1.355674,1.195909,2026-07-11T23:06:52.924Z,2
2024-06,1.531798,-4.024219,2026-07-11T23:06:52.924Z,2
2024-07,1.215685,-1.577472,2026-07-11T23:06:52.924Z,2
2024-08,1.406529,2.080996,2026-07-11T23:06:52.924Z,2
2024-09,0.183728,3.480684,2026-07-11T23:06:52.924Z,2
2024-10,0.324825,-5.105776,2026-07-11T23:06:52.924Z,2
2024-11,2.556757,-1.733849,2026-07-11T23:06:52.924Z,2
2024-12,0.210014,-2.450185,2026-07-11T23:06:52.924Z,2
2025-01,-1.24679,3.959071,2026-07-11T23:06:52.924Z,2
2025-02,0.875379,1.488682,2026-07-11T23:06:52.924Z,2
2025-03,-0.59,,2026-07-12T22:20:29.424Z,2
2025-04,1.96703,2.592856,2026-07-11T23:06:52.924Z,2
2025-05,6.277056,6.423384,2026-07-11T23:06:52.924Z,2
2025-06,2.038382,6.43111,2026-07-11T23:06:52.924Z,2
2025-07,4.438035,1.272951,2026-07-11T23:06:52.924Z,2
2025-08,-0.772683,2.633273,2026-07-11T23:06:52.924Z,2
2025-09,3.727658,5.547726,2026-07-11T23:06:52.924Z,2
2025-10,3.521013,2.319071,2026-07-11T23:06:52.924Z,2
2025-11,-0.541248,-0.046365,2026-07-11T23:06:52.924Z,2
2025-12,3.18711,0.903047,2026-07-11T23:06:52.924Z,2
2026-01,-0.300813,5.422575,2026-07-11T23:06:52.924Z,2
2026-02,-1.848852,-0.782102,2026-07-11T23:06:52.924Z,2
2026-03,-4.115592,-5.153318,2026-07-11T23:06:52.924Z,2
2026-04,4.718179,9.423596,2026-07-11T23:06:52.924Z,2
2026-05,4.295847,2.598771,2026-07-11T23:06:52.924Z,2
2026-06,-1.608584,-3.756335,2026-07-11T23:06:52.924Z,2
2026-07,"-0,056101","1,738365",2026-08-02T15:15:24.195Z,2
2026-07,"-0,056101","1,738365",2026-08-02T15:15:23.993Z,2
2026-08,"7,024878","4,750829",2026-09-03T21:03:08.959Z,2
