ticker,data,decisao,mes,ano,lancamento,categoria,valor,moeda
HGCR11.SA,2024-05-15,DIvidendo,mai/24,2024,DIvidendo,Fii,95,BRL
HGCR11.SA,2024-04-12,DIvidendo,abr/24,2024,DIvidendo,Fii,95,BRL
HGCR11.SA,2024-03-14,DIvidendo,mar/24,2024,DIvidendo,Fii,95,BRL
HGCR11.SA,2024-02-16,DIvidendo,fev/24,2024,DIvidendo,Fii,95,BRL
HGCR11.SA,2024-01-15,DIvidendo,jan/24,2024,DIvidendo,Fii,100,BRL
HGCR11.SA,2023-12-14,DIvidendo,dez/23,2023,DIvidendo,Fii,100,BRL
HGCR11.SA,2023-11-16,DIvidendo,nov/23,2023,DIvidendo,Fii,100,BRL
HGCR11.SA,2023-10-16,DIvidendo,out/23,2023,DIvidendo,Fii,110,BRL
HGCR11.SA,2023-09-15,DIvidendo,set/23,2023,DIvidendo,Fii,110,BRL
HGCR11.SA,2023-08-14,DIvidendo,ago/23,2023,DIvidendo,Fii,110,BRL
HGLG11.SA,2024-10-14,DIvidendo,out/24,2024,DIvidendo,Fii,"34,1",BRL
HGLG11.SA,2024-09-13,DIvidendo,set/24,2024,DIvidendo,Fii,"34,1",BRL
HGLG11.SA,2024-08-14,DIvidendo,ago/24,2024,DIvidendo,Fii,"34,1",BRL
HGLG11.SA,2024-07-12,DIvidendo,jul/24,2024,DIvidendo,Fii,"34,1",BRL
HGLG11.SA,2024-06-14,DIvidendo,jun/24,2024,DIvidendo,Fii,"34,1",BRL
HGLG11.SA,2024-05-15,DIvidendo,mai/24,2024,DIvidendo,Fii,"34,1",BRL
DPM.TO,45854,IMPOSTO,46228,2025,IMPOSTO,Ação Internacional,"0,25",CAD
DPM.TO,45947,IMPOSTO,46320,2025,IMPOSTO,Ação Internacional,"0,25",CAD
DPM.TO,46042,IMPOSTO,46048,2026,IMPOSTO,Ação Internacional,"0,25",CAD
DPM.TO,46127,IMPOSTO,46138,2026,IMPOSTO,Ação Internacional,"0,39",CAD
DPM.TO,46042,Dividendo,46048,2026,Dividendo,Ação Internacional,"0,99",CAD
DPM.TO,46127,Dividendo,46138,2026,Dividendo,Ação Internacional,"1,56",CAD
GOOGL,2026-03-16,IMPOSTO,mar/26,2026,IMPOSTO,Ação Internacional,"-0,44",USD
GOOGL,2026-03-16,Dividendo,mar/26,2026,Dividendo,Ação Internacional,"1,47",USD
GOOGL,2025-12-15,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,44",USD
GOOGL,2025-12-15,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"1,47",USD
ITUB4.SA,2026-05-04,JCP,mai/26,2026,JCP,Ação Nacional,"2,16",BRL
ITUB4.SA,2026-04-01,JCP,abr/26,2026,JCP,Ação Nacional,"2,16",BRL
ITUB4.SA,2026-03-06,JCP,mar/26,2026,JCP,Ação Nacional,"44,0",BRL
ITUB4.SA,2026-03-02,JCP,mar/26,2026,JCP,Ação Nacional,"2,16",BRL
ITUB4.SA,2026-02-02,JCP,fev/26,2026,JCP,Ação Nacional,"2,17",BRL
ITUB4.SA,2026-01-02,JCP,jan/26,2026,JCP,Ação Nacional,"2,1",BRL
ITUB4.SA,2026-06-01,Dividendo,jun./26,2026,JCP,Ações Brasil,"2,16",BRL
ITUB4.SA,2026-01-02,JUROS S/ CAPITAL,jan/26,2026,JUROS S/ CAPITAL,Ação,"2,9",BRL
ITUB4.SA,2025-12-19,Dividendo,dez/25,2025,Dividendo,Ação,"261,55",BRL
ITUB4.SA,2025-12-01,DIvidendo,dez/25,2025,DIvidendo,Ação,"2,1",BRL
ITUB4.SA,2025-11-03,DIvidendo,nov/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
ITUB4.SA,2025-10-01,DIvidendo,out/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
ITUB4.SA,2025-09-01,DIvidendo,set/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
ITUB4.SA,2025-08-29,DIvidendo,ago/25,2025,JUROS S/ CAPITAL,Ação,"43,24",BRL
ITUB4.SA,2025-08-29,DIvidendo,ago/25,2025,JUROS S/ CAPITAL,Ação,"39,76",BRL
ITUB4.SA,2025-08-01,DIvidendo,ago/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
ITUB4.SA,2025-07-01,DIvidendo,jul/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
ITUB4.SA,2025-06-02,DIvidendo,jun/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
ITUB4.SA,2025-05-02,DIvidendo,mai/25,2025,JUROS S/ CAPITAL,Ação,"2,1",BRL
ITUB4.SA,2025-04-01,DIvidendo,abr/25,2025,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2025-03-07,DIvidendo,mar/25,2025,DIvidendo,Ação,"160,11",BRL
ITUB4.SA,2025-03-07,DIvidendo,mar/25,2025,JUROS S/ CAPITAL,Ação,"29,7",BRL
ITUB4.SA,2025-03-07,DIvidendo,mar/25,2025,JUROS S/ CAPITAL,Ação,"33,79",BRL
ITUB4.SA,2025-03-07,DIvidendo,mar/25,2025,JUROS S/ CAPITAL,Ação,"36,28",BRL
ITUB4.SA,2025-03-06,DIvidendo,mar/25,2025,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2025-02-03,DIvidendo,fev/25,2025,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2025-01-02,DIvidendo,jan/25,2025,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2024-12-02,DIvidendo,dez/24,2024,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2024-11-01,DIvidendo,nov/24,2024,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2024-10-01,DIvidendo,out/24,2024,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2024-09-02,DIvidendo,set/24,2024,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2024-08-30,DIvidendo,ago/24,2024,JUROS S/ CAPITAL,Ação,"27,31",BRL
ITUB4.SA,2024-08-01,DIvidendo,ago/24,2024,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2024-07-01,DIvidendo,jul/24,2024,JUROS S/ CAPITAL,Ação,"1,92",BRL
ITUB4.SA,2024-06-03,DIvidendo,jun/24,2024,JUROS S/ CAPITAL,Ação,"1,92",BRL
KNCR11.SA,2026-05-14,Dividendo,mai/26,2026,Dividendo,FII,"116,6",BRL
KNCR11.SA,2026-04-14,Dividendo,abr/26,2026,Dividendo,FII,"120,75",BRL
KNCR11.SA,2026-03-12,Dividendo,mar/26,2026,Dividendo,FII,"105,0",BRL
KNCR11.SA,2026-02-12,Dividendo,fev/26,2026,Dividendo,FII,"126,0",BRL
KNCR11.SA,2026-01-14,Dividendo,jan/26,2026,Dividendo,FII,"135,2",BRL
KNCR11.SA,2023-07-13,Dividendo,jul/23,2023,Dividendo,FII,"115,0",BRL
KNCR11.SA,2023-06-14,Dividendo,jun/23,2023,Dividendo,FII,"124,0",BRL
KNCR11.SA,2023-05-12,Dividendo,mai/23,2023,Dividendo,FII,"100,0",BRL
KNCR11.SA,2023-04-14,Dividendo,abr/23,2023,Dividendo,FII,"122,0",BRL
KNCR11.SA,2023-03-13,Dividendo,mar/23,2023,Dividendo,FII,"100,0",BRL
KNCR11.SA,2023-02-13,Dividendo,fev/23,2023,Dividendo,FII,"120,0",BRL
KNCR11.SA,2026-06-12,Dividendo,jun./26,2026,Dividendo,FIIs,"116,6",BRL
KNCR11.SA,2025-12-11,Dividendo,dez/25,2025,DIvidendo,Fii,"114,33",BRL
KNCR11.SA,2025-11-13,DIvidendo,nov/25,2025,DIvidendo,Fii,"135,66",BRL
KNCR11.SA,2025-10-13,DIvidendo,out/25,2025,DIvidendo,Fii,"136,35",BRL
KNCR11.SA,2025-09-11,DIvidendo,set/25,2025,DIvidendo,Fii,135,BRL
KNCR11.SA,2025-08-13,DIvidendo,ago/25,2025,DIvidendo,Fii,135,BRL
KNCR11.SA,2025-07-11,DIvidendo,jul/25,2025,DIvidendo,Fii,120,BRL
KNCR11.SA,2025-06-12,DIvidendo,jun/25,2025,DIvidendo,Fii,120,BRL
KNCR11.SA,2025-05-14,DIvidendo,mai/25,2025,DIvidendo,Fii,116,BRL
KNCR11.SA,2025-04-11,DIvidendo,abr/25,2025,DIvidendo,Fii,104,BRL
KNCR11.SA,2025-03-17,DIvidendo,mar/25,2025,DIvidendo,Fii,107,BRL
