chave,type_id,titulo,url,confianca,faixa_anos,ano_suspeito,atualizado_em
uruguai|10 pesos|2000|km# 121,4468,10 Pesos Uruguayos (José Artigas),https://pt.numista.com/4468,km,2000,0,2026-08-15T00:51:28.768Z
africa do sul|5 rand|2005|km# 297,2483,5 Rand (Afrika Dzonga - South Africa),https://pt.numista.com/2483,km,2005,0,2026-08-15T00:51:28.912Z
romenia|50 bani|2016|,4768,50 Bani (Eagle without crown),https://pt.numista.com/4768,pais-ano,2005–2017,0,2026-08-15T00:51:29.088Z
eua|¼ dolar|1986|,,,,nenhuma,,0,2026-08-15T00:51:29.156Z
belgica|2 euro|2004|km# 231,80,"2 Euros - Albert II (1st map, 1st type, 1st portrait)",https://pt.numista.com/80,km,1999–2006,0,2026-08-15T00:51:29.371Z
brasil|1000 reis|1927|km# 525,6132,1000 Réis,https://pt.numista.com/6132,km,1924–1931,0,2026-08-15T00:51:29.512Z
peru|1 novo sol|2013|km# 366,37083,1 Nuevo Sol (2nd type),https://pt.numista.com/37083,km,2012–2015,0,2026-08-15T00:51:30.705Z
uruguai|10 pesos|2011|km# 134,22257,10 Pesos Uruguayos (Puma),https://pt.numista.com/22257,km,2011–2015,0,2026-08-15T00:51:30.877Z
chile|50 pesos|2015|km# 219,2834,50 Pesos,https://pt.numista.com/2834,km,1981–2024,0,2026-08-15T00:51:31.044Z
eua|¼ dolar|2014|,,,,nenhuma,,0,2026-08-15T00:51:31.220Z
polonia|1 zloty|2013|,526,1 Grosz (non-magnetic),https://pt.numista.com/526,pais-ano,1990–2014,0,2026-08-15T00:51:31.387Z
|500 francos|2004|km# 15,10429,1 Falus - Dost Muhammad (Ahmadshahi),https://pt.numista.com/10429,km,1825,1,2026-08-15T00:51:31.462Z
argentina|50 centavos|1994|km# 111,,,,nenhuma,,0,2026-08-15T00:51:31.700Z
trinidad e tobago|1 centimo|2016|km# 29,1091,1 Cent,https://pt.numista.com/1091,km,1976–2016,0,2026-08-15T00:51:31.837Z
argentina|25 centavos|1992|km# 110.1,,,,nenhuma,,0,2026-08-15T00:51:32.959Z
australia|50 centimos|2006|km# 404,8327,50 Cents - Elizabeth II (4th Portrait),https://pt.numista.com/8327,km,1999–2019,0,2026-08-15T00:51:33.094Z
eua|¼ dolar|1979|,,,,nenhuma,,0,2026-08-15T00:51:33.280Z
argentina|10 centavos|1992|km# 107,2214,10 Centavos (reeded edge; non-magnetic),https://pt.numista.com/2214,km,1992–2006,0,2026-08-15T00:51:33.484Z
mexico|20 pesos novos|1993|km# 561,593,20 Nuevos Pesos,https://pt.numista.com/593,km,1993–1995,0,2026-08-15T00:51:33.622Z
hungria|50 florins|1994|km# 697,808,50 Forint,https://pt.numista.com/808,km,1992–2011,0,2026-08-15T00:51:33.796Z
chile|100 pesos|1999|km# 226,2302,100 Pesos,https://pt.numista.com/2302,km,1981–2000,0,2026-08-15T00:51:34.834Z
colombia|500 pesos|2005|km# 286,2432,500 Pesos,https://pt.numista.com/2432,km,1993–2012,0,2026-08-15T00:51:35.007Z
brasil|50 centavos|1987|km# 604,3758,50 Centavos,https://pt.numista.com/3758,km,1986–1988,0,2026-08-15T00:51:35.139Z
brasil|1 cruzado|1986|km# 605,3509,1 Cruzado,https://pt.numista.com/3509,km,1986–1988,0,2026-08-15T00:51:35.275Z
brasil|10 cruzados|1987|km# 607,3538,10 Cruzados,https://pt.numista.com/3538,km,1987–1988,0,2026-08-15T00:51:35.411Z
brasil|20 centavos|1987|km# 603,5389,20 Centavos,https://pt.numista.com/5389,km,1986–1988,0,2026-08-15T00:51:35.547Z
brasil|5 centavos|1975|km# 587,,,,nenhuma,,0,2026-08-15T00:51:35.791Z
brasil|1 centavo|1969|km# 575.2,6794,1 Centavo,https://pt.numista.com/6794,km,1967–1975,0,2026-08-15T00:51:35.954Z
brasil|10 centavos|1986|km# 602,445638,10 Centavos (Trial),https://pt.numista.com/445638,km,1986–1987,0,2026-08-15T00:51:37.011Z
brasil|2 centavos|1967|km# 576.1,6437,2 Centavos,https://pt.numista.com/6437,km,1967–1975,0,2026-08-15T00:51:37.155Z
brasil|5 centavos|1969|km# 577.2,,,,nenhuma,,0,2026-08-15T00:51:37.330Z
brasil|10 cruzados|1988|km# 607,3538,10 Cruzados,https://pt.numista.com/3538,km,1987–1988,0,2026-08-15T00:51:37.462Z
brasil|5 cruzados|1987|km# 606,4696,5 Cruzados,https://pt.numista.com/4696,km,1986–1988,0,2026-08-15T00:51:37.598Z
brasil|5 cruzeiros reais|1993|km# 627,5393,5 Cruzeiros Reais,https://pt.numista.com/5393,km,1993–1994,0,2026-08-15T00:51:37.738Z
brasil|10 centavos|1978|km# 578.1a,7052,10 Centavos (magnetic),https://pt.numista.com/7052,km,1974–1979,0,2026-08-15T00:51:37.874Z
brasil|1 cruzeiro|1980|km# 590,2247,1 Cruzeiro,https://pt.numista.com/2247,km,1979–1984,0,2026-08-15T00:51:38.037Z
brasil|2 centavos|1975|km# 586,5384,2 Centavos (FAO),https://pt.numista.com/5384,km,1975–1978,0,2026-08-15T00:51:39.102Z
brasil|1 cruzeiro|1979|km# 590,2247,1 Cruzeiro,https://pt.numista.com/2247,km,1979–1984,0,2026-08-15T00:51:39.271Z
brasil|100 cruzeiros|1985|km# 595,4052,100 Cruzeiros,https://pt.numista.com/4052,km,1985–1986,0,2026-08-15T00:51:39.438Z
brasil|10 cruzeiros|1981|km# 592.1,,,,nenhuma,,0,2026-08-15T00:51:39.606Z
brasil|5 cruzeiros|1980|km# 591,2576,5 Cruzeiros,https://pt.numista.com/2576,km,1980–1984,0,2026-08-15T00:51:39.741Z
brasil|500 cruzeiros|1986|km# 597,5386,500 Cruzeiros,https://pt.numista.com/5386,km,1985–1986,0,2026-08-15T00:51:39.948Z
brasil|10 cruzeiros reais|1993|km# 628,5394,10 Cruzeiros Reais,https://pt.numista.com/5394,km,1993–1994,0,2026-08-15T00:51:40.086Z
brasil|1 cruzeiro|1990|km# 617,5388,1 Cruzeiro,https://pt.numista.com/5388,km,1990,0,2026-08-15T00:51:41.124Z
brasil|500 cruzeiros|1992|km# 624,2300,500 Cruzeiros,https://pt.numista.com/2300,km,1992–1993,0,2026-08-15T00:51:41.264Z
brasil|10 cruzeiros|1991|km# 619,,,,nenhuma,,0,2026-08-15T00:51:41.415Z
brasil|5 cruzeiros|1990|km# 618,4697,5 Cruzeiros,https://pt.numista.com/4697,km,1990–1992,0,2026-08-15T00:51:41.550Z
brasil|5 cruzados|1988|km# 606,4696,5 Cruzados,https://pt.numista.com/4696,km,1986–1988,0,2026-08-15T00:51:41.683Z
brasil|50 cruzeiros|1965|km# 574,9337,50 Cruzeiros,https://pt.numista.com/9337,km,1965,0,2026-08-15T00:51:41.822Z
brasil|1 centavo|1975|km# 585,5383,1 Centavo (FAO),https://pt.numista.com/5383,km,1975–1978,0,2026-08-15T00:51:41.996Z
brasil|100 cruzeiros|1992|km# 623,5391,100 Cruzeiros,https://pt.numista.com/5391,km,1992–1993,0,2026-08-15T00:51:42.131Z
brasil|200 cruzeiros|1985|km# 596,10252,200 Cruzeiros,https://pt.numista.com/10252,km,1985–1986,0,2026-08-15T00:51:43.191Z
brasil|1 cruzado|1988|km# 605,3509,1 Cruzado,https://pt.numista.com/3509,km,1986–1988,0,2026-08-15T00:51:43.325Z
brasil|1 centavo|1986|km# 600,,,,nenhuma,,0,2026-08-15T00:51:43.508Z
brasil|1 cruzeiro|1970|km# 581,2248,1 Cruzeiro,https://pt.numista.com/2248,km,1967–1970,0,2026-08-15T00:51:43.644Z
brasil|1 cruzeiro|1976|km# 581a,8852,1 Cruzeiro,https://pt.numista.com/8852,km,1974–1978,0,2026-08-15T00:51:43.780Z
brasil|50 centavos|1979|km# 580b,5382,50 Centavos (magnetic),https://pt.numista.com/5382,km,1975–1979,0,2026-08-15T00:51:43.914Z
brasil|5000 cruzeiros|1992|km# 625,14155,5000 Cruzeiros (200th anniversary of Tiradentes' death),https://pt.numista.com/14155,km,1992,0,2026-08-15T00:51:44.064Z
