chave,type_id,titulo,url,confianca,faixa_anos,ano_suspeito,atualizado_em
brasil|20 cruzeiros|1965|km# 573,9525,20 Cruzeiros,https://pt.numista.com/9525,km,1965,0,2026-08-15T00:51:58.806Z
brasil|10 cruzeiros|1984|km# 592.1,,,,nenhuma,,0,2026-08-15T00:51:58.938Z
brasil|50 centavos|1995|km# 635,2823,50 Centavos,https://pt.numista.com/2823,km,1994–1995,0,2026-08-15T00:51:59.141Z
brasil|10 cruzeiros|1982|km# 592.1,,,,nenhuma,,0,2026-08-15T00:52:00.499Z
brasil|1 real|2016|km# 724,83619,1 Real (Olympic Games Rio 2016 - Boxing),https://pt.numista.com/83619,km,2016,0,2026-08-15T00:52:00.642Z
brasil|1 real|2015|km# 709,75273,1 Real (Olympic Games Rio 2016 - Volleyball),https://pt.numista.com/75273,km,2015,0,2026-08-15T00:52:00.787Z
brasil|1 real|2015|km# 708,75158,1 Real (Olympic Games Rio 2016 - Soccer),https://pt.numista.com/75158,km,2015,0,2026-08-15T00:52:00.970Z
brasil|1 real|2016|km# 726,83621,1 Real (Olympic Games Rio 2016 - Olympic Mascot),https://pt.numista.com/83621,km,2016,0,2026-08-15T00:52:01.108Z
brasil|1 real|2015|km# 707,71697,1 Real (Olympic Games Rio 2016 - Rugby),https://pt.numista.com/71697,km,2015,0,2026-08-15T00:52:01.241Z
brasil|50 centavos|2007|km# 651a,666,50 Centavos (Rio Branco; stainless steel),https://pt.numista.com/666,km,2002–2024,0,2026-08-15T00:52:01.487Z
brasil|10 centavos|1994|km# 633,2822,10 Centavos,https://pt.numista.com/2822,km,1994–1997,0,2026-08-15T00:52:01.660Z
brasil|10 centavos|1995|km# 641,11094,10 Centavos (FAO),https://pt.numista.com/11094,km,1995,0,2026-08-15T00:52:02.826Z
brasil|1 real|1998|km# 652,3817,1 Real,https://pt.numista.com/3817,km,1998–1999,0,2026-08-15T00:52:02.971Z
brasil|1 real|2015|km# 711,75274,1 Real (Olympic Games Rio 2016 - Judo),https://pt.numista.com/75274,km,2015,0,2026-08-15T00:52:03.108Z
brasil|1 real|2019|km# 652a,,,,nenhuma,,0,2026-08-15T00:52:03.356Z
brasil|1 real|2015|km# 705,71695,1 Real (Olympic Games Rio 2016 - Sailing),https://pt.numista.com/71695,km,2015,0,2026-08-15T00:52:03.545Z
brasil|1 real|2014|km# 689,68046,1 Real (Olympic Games Rio 2016 - Paratriathlon),https://pt.numista.com/68046,km,2014,0,2026-08-15T00:52:03.749Z
brasil|1 real|2015|km# 723,71605,1 Real (50 Years of Central Bank),https://pt.numista.com/71605,km,2015,0,2026-08-15T00:52:03.894Z
brasil|1 real|2005|km# 668,6439,1 Real (40 Years of Central Bank),https://pt.numista.com/6439,km,2005,0,2026-08-15T00:52:04.061Z
brasil|1 real|2015|km# 704,71696,1 Real (Olympic Games Rio 2016 - Basketball),https://pt.numista.com/71696,km,2015,0,2026-08-15T01:07:46.866Z
brasil|1 real|2016|km# 725,83620,1 Real (Olympic Games Rio 2016 - Paralympic Swimming),https://pt.numista.com/83620,km,2016,0,2026-08-15T01:07:47.010Z
brasil|1 real|2002|km# 656,6385,1 Real (Juscelino Kubitschek),https://pt.numista.com/6385,km,2002,0,2026-08-15T01:07:47.192Z
brasil|1 real|2015|km# 706,71698,1 Real (Olympic Games Rio 2016 - Paracanoe),https://pt.numista.com/71698,km,2015,0,2026-08-15T01:07:47.364Z
brasil|1 real|2019|,1049,5 Centavos (Tiradentes),https://pt.numista.com/1049,pais-ano,1998–2025,0,2026-08-15T01:07:47.539Z
brasil|1 real|2014|km# 688,68045,1 Real (Olympic Games Rio 2016 - Swimming),https://pt.numista.com/68045,km,2014,0,2026-08-15T01:07:47.715Z
brasil|1 real|2016|km# 727,83622,1 Real (Olympic Games Rio 2016 - Paralympic Mascot),https://pt.numista.com/83622,km,2016,0,2026-08-15T01:07:47.854Z
brasil|1 real|2014|km# 687,68043,1 Real (Olympic Games Rio 2016 - Athletics),https://pt.numista.com/68043,km,2014,0,2026-08-15T01:07:48.024Z
brasil|1 real|2014|km# 690,68044,1 Real (Olympic Games Rio 2016 - Golf),https://pt.numista.com/68044,km,2014,0,2026-08-15T01:07:49.566Z
